"","X.1","source","X","Y","TreeID99","Status99","Notes99","DBH99","TreeID13","Status13","Notes13","DBH13","uid","dbh.delta"
"184",184,"Red-Tail Ridge",38.8198180928991,239.393218756851,745,"L",NA,13,745,"L",NA,14,187,1
"185",185,"Red-Tail Ridge",478.212202420605,-8.18350606275085,504,"L",NA,13,504,"L",NA,16,188,3
"186",186,"Red-Tail Ridge",56.547003581916,213.452263943938,763,"L","Pith rotten only--fire??",14,763,"D","Dead, no apparent damage",NA,189,NA
"187",187,"Red-Tail Ridge",293.505563990844,77.127734950851,529,"L","ON OLD ROAD",14,529,"L",NA,21,190,7
"188",188,"Red-Tail Ridge",151.14767152834,78.4124434047381,649,"L",NA,14,649,"L","Overtopped by hickory",15,191,1
"189",189,"Red-Tail Ridge",147.539429271303,-28.1452804267087,586,"L","leaning",14,586,"L","Leaning significantly downslope",15,192,1
"190",190,"Red-Tail Ridge",186.60667048665,-78.1322307562695,635,"L",NA,14,635,"L",NA,19,193,5
"191",191,"Red-Tail Ridge",35.2774286196865,202.955701068301,758,"L",NA,14,758,"L",NA,17,194,3
"192",192,"Red-Tail Ridge",61.5179510083509,-61.5186289162408,934,"L",NA,14,934,"L","Top broken & forked",14,195,0
"193",193,"Red-Tail Ridge",148.999470260319,164.525366425321,540,"L",NA,14,540,"L","Catface",15,196,1
"194",194,"Red-Tail Ridge",428.167480477969,182.280307393952,702,"L",NA,14,702,"L",NA,20,197,6
"195",195,"Red-Tail Ridge",183.771443624055,24.5197167261552,577,"L",NA,14,577,"L",NA,17,198,3
"196",196,"Red-Tail Ridge",149.015114279802,-24.4027809107376,589,"L",NA,14,589,"L",NA,21,199,7
"197",197,"Red-Tail Ridge",-199.806600421323,199.912556139899,712,"L",NA,14,712,"L","Damage",20,200,6
"198",198,"Red-Tail Ridge",281.810885004238,138.385461227552,883,"L",NA,15,883,"D","Long dead, broken; fell next to 882",NA,201,NA
"199",199,"Red-Tail Ridge",233.607235238333,-64.5912477072843,627,"L",NA,15,627,"L",NA,20,202,5
"200",200,"Red-Tail Ridge",-185.782403592909,161.820619764014,718,"L",NA,15,718,"L",NA,24,203,9
"201",201,"Red-Tail Ridge",212.943745945972,186.513845782704,893,"L",NA,15,893,"L",NA,17,204,2
"202",202,"Red-Tail Ridge",128.651886683465,140.45947953374,907,"L",NA,15,907,"L",NA,17,205,2
"203",203,"Red-Tail Ridge",-13.7514451795839,-25.6458136052046,960,"L",NA,15,960,"L",NA,22,206,7
"204",204,"Red-Tail Ridge",158.894804224358,174.956423082022,545,"L",NA,15,545,"D",NA,NA,207,NA
"205",205,"Red-Tail Ridge",97.1559630377992,-54.2992527222778,671,"L",NA,15,671,"L","Damage, no scar, char",24,208,9
"206",206,"Red-Tail Ridge",60.0186671684913,-92.4218566753442,866,"L","leaning",15,866,"L",NA,19,209,4
"207",207,"Red-Tail Ridge",315.00813476473,175.648246441872,878,"L",NA,15,878,"L",NA,21,210,6
"208",208,"Red-Tail Ridge",203.882533766092,190.894322893713,897,"L",NA,15,897,"L",NA,20,211,5
"209",209,"Red-Tail Ridge",97.1241226216169,147.446394039881,977,"L",NA,15,977,"L",NA,18,212,3
"210",210,"Red-Tail Ridge",382.985115968666,63.4956996149452,513,"L",NA,15,513,"L",NA,22,213,7
"211",211,"Red-Tail Ridge",257.863382481289,74.0648891815623,563,"L",NA,15,563,"L",NA,22,214,7
"212",212,"Red-Tail Ridge",142.286522626061,9.45015761685975,647,"L",NA,15,647,"L","High char",22,215,7
"213",213,"Red-Tail Ridge",145.979582195198,39.3878354586227,655,"L",NA,15,655,"L","Catface",18,216,3
"214",214,"Red-Tail Ridge",-29.306547968594,230.778563467724,738,"L",NA,15,738,"L",NA,21,217,6
"215",215,"Red-Tail Ridge",-59.4105750172879,-28.975741165934,966,"L",NA,15,966,"L",NA,24,218,9
"216",216,"Red-Tail Ridge",97.1894356956629,151.387659963283,978,"L",NA,15,978,"L","Down and left of 977, has almost completely eaten tag",20,219,5
"217",217,"Red-Tail Ridge",473.240990711842,-51.876893743856,621,"L","leaning",15,621,"L","Leaning over/towards road",18,220,3
"218",218,"Red-Tail Ridge",50.8628989963537,241.809885839395,751,"L",NA,15,751,"L",NA,32,221,17
"219",219,"Red-Tail Ridge",374.92660468665,65.2597533336489,514,"L",NA,16,514,"D","Dead, broken at base",NA,222,NA
"220",220,"Red-Tail Ridge",449.088667379715,-53.1157692679336,619,"L","growing in old road",16,619,"L",NA,22,223,6
"221",221,"Red-Tail Ridge",-184.68833703449,152.574560543749,720,"L",NA,16,720,"L",NA,23,224,7
"222",222,"Red-Tail Ridge",52.6146002005589,-104.614118768622,862,"L","leaning",16,862,"L","Leaning significantly over road",19,225,3
"223",223,"Red-Tail Ridge",68.8990434863055,3.73119373286576,677,"L",NA,16,677,"L",NA,18,226,2
"224",224,"Red-Tail Ridge",-198.913166829739,150.575904231751,721,"L",NA,16,721,"L","Right on road",20,227,4
"225",225,"Red-Tail Ridge",82.3018896361724,152.850773509051,993,"L",NA,16,993,"L",NA,17,228,1
"226",226,"Red-Tail Ridge",296.966119839373,-76.1397819206129,616,"D","DEAD-BEETLES-1998",16,616,"D",NA,NA,229,NA
