"","source","X","Y","TreeID","Year","Status","DBH","Notes"
"212","Red-Tail Ridge",382.985115968666,63.4956996149452,513,1999,"L",15,NA
"213","Red-Tail Ridge",257.863382481289,74.0648891815623,563,1999,"L",15,NA
"214","Red-Tail Ridge",142.286522626061,9.45015761685975,647,1999,"L",15,NA
"215","Red-Tail Ridge",145.979582195198,39.3878354586227,655,1999,"L",15,NA
"216","Red-Tail Ridge",-29.306547968594,230.778563467724,738,1999,"L",15,NA
"217","Red-Tail Ridge",-59.4105750172879,-28.975741165934,966,1999,"L",15,NA
"218","Red-Tail Ridge",97.1894356956629,151.387659963283,978,1999,"L",15,NA
"219","Red-Tail Ridge",473.240990711842,-51.876893743856,621,1999,"L",15,"leaning"
"220","Red-Tail Ridge",50.8628989963537,241.809885839395,751,1999,"L",15,NA
"221","Red-Tail Ridge",374.92660468665,65.2597533336489,514,1999,"L",16,NA
"222","Red-Tail Ridge",449.088667379715,-53.1157692679336,619,1999,"L",16,"growing in old road"
"223","Red-Tail Ridge",-184.68833703449,152.574560543749,720,1999,"L",16,NA
"224","Red-Tail Ridge",52.6146002005589,-104.614118768622,862,1999,"L",16,"leaning"
"225","Red-Tail Ridge",68.8990434863055,3.73119373286576,677,1999,"L",16,NA
"226","Red-Tail Ridge",-198.913166829739,150.575904231751,721,1999,"L",16,NA
"227","Red-Tail Ridge",82.3018896361724,152.850773509051,993,1999,"L",16,NA
"228","Red-Tail Ridge",296.966119839373,-76.1397819206129,616,1999,"D",16,"DEAD-BEETLES-1998"
"229","Red-Tail Ridge",219.730409797936,108.126147060039,531,1999,"L",16,"4 PACES DOWNSLOPE FROM ROAD"
"230","Red-Tail Ridge",315.883775943887,164.150317690834,879,1999,"L",16,NA
"231","Red-Tail Ridge",51.6500709604809,225.423307048364,760,1999,"L",17,NA
"232","Red-Tail Ridge",526.381974611583,89.4659349124844,552,1999,"L",17,NA
"233","Red-Tail Ridge",383.968943206118,77.7398597645159,558,1999,"L",17,NA
"234","Red-Tail Ridge",207.121102988877,238.228076748312,706,1999,"L",17,NA
"235","Red-Tail Ridge",-44.6236836208499,84.9983932795573,774,1999,"L",17,NA
"236","Red-Tail Ridge",216.409839516103,186.016975712811,890,1999,"L",17,NA
"237","Red-Tail Ridge",210.685734109266,-70.9238334406348,632,1999,"D",17,"dead 98"
"238","Red-Tail Ridge",145.286704398133,166.141987507672,541,1999,"L",17,NA
"239","Red-Tail Ridge",520.845756497663,-27.4339463768012,599,1999,"L",17,NA
"240","Red-Tail Ridge",131.107127459855,154.139389815384,908,1999,"L",17,NA
"241","Red-Tail Ridge",260.773924857434,58.7590212731569,565,1999,"L",17,NA
"242","Red-Tail Ridge",251.732168832809,0.731936300615871,567,1999,"L",17,NA
"243","Red-Tail Ridge",155.782902801622,-44.0828446756819,658,1999,"L",17,NA
"244","Red-Tail Ridge",48.4041067542333,-104.757827627938,861,1999,"L",17,NA
"245","Red-Tail Ridge",162.130401557606,179.370425205629,536,1999,"L",18,NA
"246","Red-Tail Ridge",154.088775034704,204.71086542743,546,1999,"L",18,"In old road"
"247","Red-Tail Ridge",363.710304758575,-6.71340546590005,593,1999,"L",18,NA
"248","Red-Tail Ridge",-84.1136884104279,78.7142135957252,776,1999,"L",18,"Top leader broken out"
"249","Red-Tail Ridge",-43.4735723892241,81.0805063114365,784,1999,"L",18,NA
"250","Red-Tail Ridge",25.3266060706913,-8.13160654114679,932,1999,"L",18,NA
"251","Red-Tail Ridge",469.294939991492,63.7479317724775,596,1999,"L",18,NA
"252","Red-Tail Ridge",19.1380695042211,261.092220100211,742,1999,"L",18,NA
"253","Red-Tail Ridge",56.766891662817,207.038155137927,767,1999,"L",18,NA
"254","Red-Tail Ridge",210.879726436904,192.774608700746,896,1999,"L",18,NA
"255","Red-Tail Ridge",256.965134616473,160.740844272342,970,1999,"L",18,NA
"256","Red-Tail Ridge",-101.349892879485,16.597867734049,849,1999,"L",18,"dead leader; butt swell"
"257","Red-Tail Ridge",153.027569768986,174.240324903484,537,1999,"L",18,"Basal scar"
"258","Red-Tail Ridge",134.401019198798,162.807669924987,544,1999,"L",18,NA
"259","Red-Tail Ridge",12.2865065430214,263.298394470544,739,1999,"L",18,NA
"260","Red-Tail Ridge",-77.3338909181437,86.1922810665819,778,1999,"L",18,NA
"261","Red-Tail Ridge",-48.3940963903828,94.9819532045869,779,1999,"L",18,NA
"262","Red-Tail Ridge",-3.87566006003606,63.3816160972489,843,1999,"L",18,NA
"263","Red-Tail Ridge",315.668078813351,181.032613602219,877,1999,"L",19,NA
"264","Red-Tail Ridge",371.988876569995,54.1705102460334,516,1999,"L",19,"SCAR ON UPHILL SIDE AT BASE"
"265","Red-Tail Ridge",15.4098464238991,257.520469331868,740,1999,"L",19,NA
"266","Red-Tail Ridge",502.832489777229,-9.1033102160323,598,1999,"L",19,NA
"267","Red-Tail Ridge",-157.679212501813,207.597841039392,709,1999,"L",19,NA
"268","Red-Tail Ridge",87.7382062078832,143.737841821223,988,1999,"L",19,"dead top"
"269","Red-Tail Ridge",186.496153227652,63.4869369465432,591,1999,"L",19,NA
"270","Red-Tail Ridge",36.8579637308531,232.918624999852,755,1999,"L",19,NA
"271","Red-Tail Ridge",54.0054653406696,201.046308086109,768,1999,"L",19,NA
"272","Red-Tail Ridge",312.703826301231,162.932769566421,880,1999,"L",19,NA
"273","Red-Tail Ridge",260.062092638331,136.901268321634,884,1999,"L",19,NA
"274","Red-Tail Ridge",-87.031916775266,48.841431822001,913,1999,"L",19,NA
"275","Red-Tail Ridge",125.45712253033,168.335664814734,976,1999,"L",19,NA
"276","Red-Tail Ridge",16.4807875969648,110.275263047447,842,1999,"L",19,"Sonderegger!"
"277","Red-Tail Ridge",136.353823532667,-88.2122146191917,662,1999,"D",20,"dead-lightning"
"278","Red-Tail Ridge",122.648131751048,138.348628238816,909,1999,"L",20,NA
"279","Red-Tail Ridge",223.093516949888,7.77700009419587,583,1999,"L",20,NA
"280","Red-Tail Ridge",38.498961893587,245.43748995464,747,1999,"L",20,NA
"281","Red-Tail Ridge",38.6481990789653,208.767042493548,757,1999,"L",20,NA
"282","Red-Tail Ridge",40.574527886735,66.7331828011265,953,1999,"L",20,NA
"283","Red-Tail Ridge",88.3907180175277,141.454306998217,987,1999,"L",20,NA
"284","Red-Tail Ridge",96.7992864661054,186.016113976097,995,1999,"L",20,NA
"285","Red-Tail Ridge",151.37493194009,178.879049551886,538,1999,"L",20,"Basal scar"
"286","Red-Tail Ridge",432.995597016814,-50.1473014267202,618,1999,"L",20,NA
"287","Red-Tail Ridge",51.4724284405426,128.041357031364,792,1999,"L",20,NA
"288","Red-Tail Ridge",54.7157601375004,65.439098347819,955,1999,"L",20,NA
"289","Red-Tail Ridge",570.502717867298,16.7409122211357,971,1999,"L",20,NA
"290","Red-Tail Ridge",226.87788513516,178.146996689637,889,1999,"L",21,NA
"291","Red-Tail Ridge",160.514539673916,54.3625132039539,651,1999,"L",21,NA
