"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,36,"142025","2025","JuWsi",14,"YMW",34.9
1,36,"152025","2025","JuWsi",15,"OMW",6.5
1,36,"214021","4021","NaFor",21,"OHB",.7
1,36,"215012","5012","NaPgr",21,"OHB",.4
1,36,"235074","5074","JuNbu",23,"CLS",.5
1,37,"211004","1004","GrFrb",21,"OHB",4.3
1,37,"245013","5013","ArVth",24,"OLS",6.9
1,37,"235013","5013","ArVth",23,"CLS",8
1,37,"233004","3004","JuSwg",23,"CLS",17.1
1,37,"113004","3004","JuSwg",11,"SIW",19.6
1,37,"142025","2025","JuWsi",14,"YMW",36
1,37,"152025","2025","JuWsi",15,"OMW",6.5
1,37,"214021","4021","NaFor",21,"OHB",.6
1,37,"215012","5012","NaPgr",21,"OHB",.5
1,37,"235074","5074","JuNbu",23,"CLS",.5
1,38,"211004","1004","GrFrb",21,"OHB",4.1
1,38,"245013","5013","ArVth",24,"OLS",6.6
1,38,"235013","5013","ArVth",23,"CLS",8.6
1,38,"233004","3004","JuSwg",23,"CLS",15.8
1,38,"113004","3004","JuSwg",11,"SIW",19.8
1,38,"142025","2025","JuWsi",14,"YMW",36.8
1,38,"152025","2025","JuWsi",15,"OMW",6.5
1,38,"214021","4021","NaFor",21,"OHB",.8
1,38,"215012","5012","NaPgr",21,"OHB",.5
1,38,"235074","5074","JuNbu",23,"CLS",.5
1,39,"211004","1004","GrFrb",21,"OHB",3.9
1,39,"245013","5013","ArVth",24,"OLS",6.9
1,39,"235013","5013","ArVth",23,"CLS",8.7
1,39,"233004","3004","JuSwg",23,"CLS",14.5
1,39,"113004","3004","JuSwg",11,"SIW",20.6
1,39,"142025","2025","JuWsi",14,"YMW",37
1,39,"152025","2025","JuWsi",15,"OMW",6.5
1,39,"214021","4021","NaFor",21,"OHB",.8
1,39,"215012","5012","NaPgr",21,"OHB",.5
1,39,"235074","5074","JuNbu",23,"CLS",.6
1,40,"211004","1004","GrFrb",21,"OHB",4.1
1,40,"245013","5013","ArVth",24,"OLS",6.6
1,40,"235013","5013","ArVth",23,"CLS",9.1
1,40,"233004","3004","JuSwg",23,"CLS",13.8
1,40,"113004","3004","JuSwg",11,"SIW",20.5
1,40,"142025","2025","JuWsi",14,"YMW",37.3
1,40,"152025","2025","JuWsi",15,"OMW",6.6
1,40,"214021","4021","NaFor",21,"OHB",.7
1,40,"215012","5012","NaPgr",21,"OHB",.7
1,40,"235074","5074","JuNbu",23,"CLS",.6
1,41,"211004","1004","GrFrb",21,"OHB",3.3
1,41,"245013","5013","ArVth",24,"OLS",7
1,41,"235013","5013","ArVth",23,"CLS",9.6
1,41,"233004","3004","JuSwg",23,"CLS",13.7
1,41,"113004","3004","JuSwg",11,"SIW",20
1,41,"142025","2025","JuWsi",14,"YMW",37.6
1,41,"152025","2025","JuWsi",15,"OMW",6.6
1,41,"214021","4021","NaFor",21,"OHB",.9
1,41,"215012","5012","NaPgr",21,"OHB",.7
1,41,"235074","5074","JuNbu",23,"CLS",.6
1,42,"211004","1004","GrFrb",21,"OHB",3.2
1,42,"245013","5013","ArVth",24,"OLS",7
1,42,"235013","5013","ArVth",23,"CLS",9.8
1,42,"233004","3004","JuSwg",23,"CLS",13.7
1,42,"113004","3004","JuSwg",11,"SIW",19.4
1,42,"142025","2025","JuWsi",14,"YMW",38
1,42,"152025","2025","JuWsi",15,"OMW",6.7
1,42,"214021","4021","NaFor",21,"OHB",.9
1,42,"215012","5012","NaPgr",21,"OHB",.7
