"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,36,"215012","5012","NaPgr",21,"OHB",.3
1,36,"235074","5074","JuNbu",23,"CLS",.2
1,37,"211004","1004","GrFrb",21,"OHB",37.2
1,37,"245013","5013","ArVth",24,"OLS",23.1
1,37,"235013","5013","ArVth",23,"CLS",10.8
1,37,"233004","3004","JuSwg",23,"CLS",17.7
1,37,"113004","3004","JuSwg",11,"SIW",.7
1,37,"142025","2025","JuWsi",14,"YMW",4.9
1,37,"152025","2025","JuWsi",15,"OMW",5
1,37,"214021","4021","NaFor",21,"OHB",.1
1,37,"215012","5012","NaPgr",21,"OHB",.3
1,37,"235074","5074","JuNbu",23,"CLS",.2
1,38,"211004","1004","GrFrb",21,"OHB",38
1,38,"245013","5013","ArVth",24,"OLS",23.1
1,38,"235013","5013","ArVth",23,"CLS",10.6
1,38,"233004","3004","JuSwg",23,"CLS",17.3
1,38,"113004","3004","JuSwg",11,"SIW",.5
1,38,"142025","2025","JuWsi",14,"YMW",4.8
1,38,"152025","2025","JuWsi",15,"OMW",5
1,38,"214021","4021","NaFor",21,"OHB",.2
1,38,"215012","5012","NaPgr",21,"OHB",.3
1,38,"235074","5074","JuNbu",23,"CLS",.2
1,39,"211004","1004","GrFrb",21,"OHB",38.3
1,39,"245013","5013","ArVth",24,"OLS",23.1
1,39,"235013","5013","ArVth",23,"CLS",10.6
1,39,"233004","3004","JuSwg",23,"CLS",17.2
1,39,"113004","3004","JuSwg",11,"SIW",.3
1,39,"142025","2025","JuWsi",14,"YMW",4.8
1,39,"152025","2025","JuWsi",15,"OMW",5
1,39,"214021","4021","NaFor",21,"OHB",.2
1,39,"215012","5012","NaPgr",21,"OHB",.3
1,39,"235074","5074","JuNbu",23,"CLS",.2
1,40,"211004","1004","GrFrb",21,"OHB",39.3
1,40,"245013","5013","ArVth",24,"OLS",22.4
1,40,"235013","5013","ArVth",23,"CLS",11.2
1,40,"233004","3004","JuSwg",23,"CLS",16.8
1,40,"113004","3004","JuSwg",11,"SIW",.1
1,40,"142025","2025","JuWsi",14,"YMW",4.5
1,40,"152025","2025","JuWsi",15,"OMW",5
1,40,"214021","4021","NaFor",21,"OHB",.2
1,40,"215012","5012","NaPgr",21,"OHB",.3
1,40,"235074","5074","JuNbu",23,"CLS",.2
1,41,"211004","1004","GrFrb",21,"OHB",39.4
1,41,"245013","5013","ArVth",24,"OLS",22.7
1,41,"235013","5013","ArVth",23,"CLS",11.2
1,41,"233004","3004","JuSwg",23,"CLS",16.5
1,41,"113004","3004","JuSwg",11,"SIW",.1
1,41,"142025","2025","JuWsi",14,"YMW",4.3
1,41,"152025","2025","JuWsi",15,"OMW",5
1,41,"214021","4021","NaFor",21,"OHB",.3
1,41,"215012","5012","NaPgr",21,"OHB",.3
1,41,"235074","5074","JuNbu",23,"CLS",.2
1,42,"211004","1004","GrFrb",21,"OHB",40
1,42,"245013","5013","ArVth",24,"OLS",23
1,42,"235013","5013","ArVth",23,"CLS",11.2
